"Expense Type",Description,"Expense Amount","Expense Date","Expense Files","Expense Loan#","Bank Account"
"ADW Enterprises Ltd (Interest)",,2583.32,03/11/2021,,1000015,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,291.67,03/11/2021,,1000013,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1791.67,03/11/2021,,1000014,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.37,03/11/2021,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,697.00,03/11/2021,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1401.51,03/11/2021,,1000008,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3583.33,03/11/2021,,1000009,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1962.18,03/11/2021,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1329.24,03/11/2021,,1000003,"Starling Bank"
"Computer Software",google,27.60,02/11/2021,,N/A,"Starling Bank"
"Computer Software",Loandisk,65.59,20/10/2021,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,08/12/2020,,1000012,"Starling Bank"
"Legal and Professional Fees","Filing Fee Companies House",13.00,17/11/2021,"
			
        	360F1 - Filing fee.pdf
                    ",N/A,"Starling Bank"
"Legal and Professional Fees","Fee invoice",120.00,17/11/2021,"
			
        	360F1 - Invoice.pdf
                    ",N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1791.67,06/12/2021,,1000014,"Starling Bank"
"ADW Enterprises Ltd (Interest)","Actual payment was 3583.33 but altered so the capital repayment on loan disk shows  4300000 (when only 428577) was actually repaid due to overpaying interest by £1423 . Everything should balance !",2160.33,06/12/2021,,1000009,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1168.12,06/12/2021,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1231.63,06/12/2021,,1000016,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,06/12/2021,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1724.34,06/12/2021,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1624.99,06/12/2021,,1000015,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1250.00,06/12/2021,,1000013,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,697.00,06/12/2021,,1000002,"Starling Bank"
"Computer Software","34sp domain",9.95,06/12/2021,,N/A,"Starling Bank"
"Computer Software",google,27.60,02/12/2021,,N/A,"Starling Bank"
"Computer Software",loandisk,67.13,20/11/2021,,N/A,"Starling Bank"
"Bank/Finance Charges","100.11 
 Bound Back Loan (563.07 - 462.96 is capital shown as a payment in branch capital) ",100.11,13/11/2021,,N/A,"Starling Bank"
"Computer Software","34sp.com domain",9.95,05/11/2021,,N/A,"Starling Bank"
"Grove Park Finance Commission",,1500.00,07/12/2021,,1000017,"Starling Bank"
"ADW Enterprises Ltd (Interest)","Interest accrued on original 615k loan (now reduced to 540) ",1853.42,13/12/2021,,1000017,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1248.68,06/01/2022,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1624.99,06/01/2022,,1000015,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1250.00,06/01/2022,,1000013,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1791.67,06/01/2022,,1000014,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.22,06/01/2022,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2811.00,06/01/2022,,1000017,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,697.00,06/01/2022,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1316.57,06/01/2022,,1000016,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1843.26,06/01/2022,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1624.99,07/02/2022,,1000015,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1250.00,07/02/2022,,1000013,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1791.67,07/02/2022,,1000014,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.22,07/02/2022,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,697.00,07/02/2022,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1316.57,07/02/2022,,1000016,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1843.26,07/02/2022,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1248.68,07/02/2022,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,4500.00,09/02/2022,,1000017,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1127.84,16/03/2022,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1664.88,16/03/2022,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1189.16,16/03/2022,,1000008,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,697.00,16/03/2022,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1791.67,16/03/2022,,1000014,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.22,21/03/2022,,1000012,"Starling Bank"
"Computer Software",Loandisk,68.66,20/03/2022,,N/A,"Starling Bank"
"Computer Software","sp34 hosting",9.95,05/03/2022,,N/A,"Starling Bank"
"Computer Software",google,27.60,02/03/2022,,N/A,"Starling Bank"
"Computer Software",loandisk,66.32,20/02/2022,,N/A,"Starling Bank"
"Legal and Professional Fees",,840.00,18/02/2022,,1000001,"Starling Bank"
"Legal and Professional Fees","CGA Accountants",960.00,07/02/2022,,N/A,"Starling Bank"
"Computer Software","sp34 hosting",9.95,05/02/2022,,N/A,"Starling Bank"
"Computer Software",Google,27.60,02/02/2022,,N/A,"Starling Bank"
"Computer Software",Loandisk,66.32,20/01/2022,,N/A,"Starling Bank"
"Computer Software",Google,27.60,01/01/2022,,N/A,"Starling Bank"
"Computer Software",Loandisk,67.90,20/12/2021,,N/A,"Starling Bank"
"Bank/Finance Charges","Bound Back Loan (558.89- 462.96 is capital shown as a payment in branch capital)",95.93,13/12/2021,,N/A,"Starling Bank"
"Bank/Finance Charges","Bound Back Loan (561.13- 462.96 is capital shown as a payment in branch capital)",98.17,13/01/2022,,N/A,"Starling Bank"
"Bank/Finance Charges","Bound Back Loan (560.15- 462.96 is capital shown as a payment in branch capital)",97.19,13/02/2022,,N/A,"Starling Bank"
"Bank/Finance Charges","Bound Back Loan (549.87- 462.96 is capital shown as a payment in branch capital)",86.91,13/03/2022,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2255.68,26/04/2022,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,11335.58,26/04/2022,,1000017,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3583.34,26/04/2022,,1000014,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,5666.44,26/04/2022,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1394.00,26/04/2022,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,3329.76,26/04/2022,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1824.60,26/04/2022,,1000016,"Starling Bank"
"Computer Software",loandisk,69.35,20/04/2022,,N/A,"Starling Bank"
"Bank/Finance Charges","Bound Back Loan (558.20- 462.96 is capital shown as a payment in branch capital)",95.24,13/04/2022,,N/A,"Starling Bank"
"Computer Software",34sp,9.95,05/04/2022,,N/A,"Starling Bank"
"Computer Software",google,27.60,01/04/2022,,N/A,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,201.00,12/05/2022,,1000014,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1845.00,06/06/2022,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,06/06/2022,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1248.68,06/06/2022,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1316.57,06/06/2022,,1000016,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,2833.33,06/06/2022,,1000012,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,4500.00,06/06/2022,,1000017,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,25000.00,16/06/2022,,1000010,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1845.00,11/07/2022,,1000001,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,687.50,11/07/2022,,1000002,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1248.68,11/07/2022,,1000003,"Starling Bank"
"ADW Enterprises Ltd (Interest)",,1316.57,11/07/2022,,1000016,"Starling Bank"
